name,province,price,bedroom,bathroom,parkingarea,surfacearea,buildingarea,link
Rumah kavling dalam perumahan nyaman dan cantik di kodau jati mekar bekasi,Bekasi,"1,35 Miliar",3,3,2,83,100,https://www.rumah123.com/properti/bekasi/hos9786422/
Rumah Baru Eksklusif Dago Master Piece,Bandung,"4,2 Miliar",3,2,2,216,120,https://www.rumah123.com/properti/bandung/hos9684927/
cepat rumah termurah siap huni di harapan indah Bekasi,Bekasi,750 Juta,4,2,1,94,145,https://www.rumah123.com/properti/bekasi/hos9740605/
Di  cepat rumah termurah di bulevar hijau harapan indah bekasi,Bekasi,2 Miliar,3,3,1,170,225,https://www.rumah123.com/properti/bekasi/hos9502022/
"Dijual Kontrakan 7 Pintu Kampung Ciketing, Mustika Jaya",Bekasi,"1,4 Miliar",7,7,0,350,210,https://www.rumah123.com/properti/bekasi/hos9744373/
"Rumah , hommy, Kokoh,Fullfurnish,nyaman di komp culdesac Cipaku Indah",Bandung,"3,25 Miliar",4,3,0,280,250,https://www.rumah123.com/properti/bandung/hos3887033/
Rumah baru minimalis lokasi bintara jaya bekasi barat akses caman pondok kelapa,Bekasi,900 Juta,3,2,1,75,108,https://www.rumah123.com/properti/bekasi/hos9752164/
Dijual Rumah di Jl. Srikusumah,Bandung,"3,2 Miliar",7,5,0,551,275,https://www.rumah123.com/properti/bandung/hos8629835/
Rumah Bagus di Jl. Cigadung Selatan - Bandung,Bandung,"3,5 Miliar",6,3,2,300,400,https://www.rumah123.com/properti/bandung/hos9607778/
RUMAH MURAH BERKUALITAS DI TIMUR CIBUBUR,Bogor,200 Juta,2,1,0,85,30,https://www.rumah123.com/properti/bogor/hos9528151/
RUMAH SUBSIDI BERKUALITAS DI CILEUNGSI HARGA DIBAWAH 200 JT -AN,Bogor,168 Juta,2,1,1,60,30,https://www.rumah123.com/properti/bogor/hos9893553/
Mini cluster bintara jaya harga termurah rumah lantai 2 akses terdekat caman pondok kelapa,Bekasi,600 Juta,3,2,1,50,100,https://www.rumah123.com/properti/bekasi/hos4884886/
Rumah baru konsep pembangunan inden lokasi dekat dengan Bintara jaya.cakung.jati asih.pondok kelapa.buaran.jakarta timur,Bekasi,900 Juta,3,2,1,75,108,https://www.rumah123.com/properti/bekasi/hos6902608/
Cluster 2.5 lantai desain modern harga terjangkau lokasi 7 menit ke tol beji kukusan,Depok,"1,01 Miliar",3,2,2,80,71,https://www.rumah123.com/properti/depok/hos9731215/
"Cluster 2 Lantai dengan Konsep Green Minimalis Elegan yang menyajikan Hunian Aman, Nyaman dan Sejuk di Kota Depok dengan AKSES TERBAIK dan HARGA TERJANGKAU",Depok,880 Juta,3,2,2,60,74,https://www.rumah123.com/properti/depok/hos9866951/
Rumah 2 Lantai Lokasi SUPER STRATEGIS di Pusat Kota Depok Pinggir Jalan Margonda dengan Harga SUPER TERJANGKAU,Depok,"1,03 Miliar",3,2,2,63,61,https://www.rumah123.com/properti/depok/hos9846810/
Rumah siap huni lingkungan nyaman fasilitas lengkap harga terjangkau lokasi dekat gdc depok,Depok,800 Juta,2,1,1,105,55,https://www.rumah123.com/properti/depok/hos9738244/
"Cluster Adara, Kota Harapan Indah",Bekasi,"1,69 Miliar",2,2,0,108,69,https://www.rumah123.com/properti/bekasi/hos9430479/
Rumah mewah 2 lantai free desain,Bogor,600 Juta,3,2,2,70,54,https://www.rumah123.com/properti/bogor/hos9684078/
Cluster murah dekat tol kopo,Bandung,155 Juta,2,1,0,36,60,https://www.rumah123.com/properti/bandung/hos9750586/
Turun Harga Siap Huni 1M an 400 mtr Ke Carrefour Buah Batu Bandung,Bandung,"1,43 Miliar",3,4,0,91,122,https://www.rumah123.com/properti/bandung/hos6906767/
Rumah Siap Huni di Harapan Indah Bulevar Hijau Bekasi,Bekasi,"1,6 Miliar",4,3,1,135,150,https://www.rumah123.com/properti/bekasi/hos9457318/
Rumah Nyaman di Jatibening,Bekasi,"1,75 Miliar",3,2,0,168,124,https://www.rumah123.com/properti/bekasi/hos7645402/
Rumah Minimalis Strategis 1M an 400 mtr Ke Carrefour Kiaracondong Bandung,Bandung,"1,17 Miliar",3,3,0,72,100,https://www.rumah123.com/properti/bandung/hos6907136/
Rumah Siap Huni Strategis 300 Meter Ke Carrefour Buah Batu Bandung,Bandung,905 Juta,2,1,0,72,60,https://www.rumah123.com/properti/bandung/hos8820015/
Rumah murah modern dekat kota bandung,Bandung,175 Juta,2,1,1,45,70,https://www.rumah123.com/properti/bandung/hos8587825/
Cepat Rumah Murah di Cluster Terdepan Harapan Indah Regency Bekasi,Bekasi,"1,92 Miliar",4,2,1,160,160,https://www.rumah123.com/properti/bekasi/hos9280020/
Rumah Klasik Murah 1M an Samping Transmart Studio Mall Bandung,Bandung,"1,18 Miliar",3,1,0,120,90,https://www.rumah123.com/properti/bandung/hos7703458/
Rumah murah chas dan bertahap,Depok,350 Juta,2,1,1,66,45,https://www.rumah123.com/properti/bogor/hos9952039/
"Rumah Bagus Sangat Murah,  Masih Baru di Sawangan hanya seharga Mobil  Avanza",Depok,220 Juta,2,1,1,65,40,https://www.rumah123.com/properti/depok/hos9512845/
Rumah Baru Bagus sekali view gunung udara bersih bebas polusi  MURAH .,Bogor,"1,6 Miliar",3,2,0,126,102,https://www.rumah123.com/properti/bogor/hos9311091/
"Rumah Murah Banget,  Nyaman Baru Renovasi , Siap Pakai di Harapan Indah Bekasi",Bekasi,570 Juta,2,1,0,65,45,https://www.rumah123.com/properti/bekasi/hos9474452/
Rumah Bagus Baru Renov cuma seharga Mobil Wuling Mau ? Ayo sebelum keduluan .,Bekasi,375 Juta,2,1,0,65,40,https://www.rumah123.com/properti/bekasi/hos9474774/
Jarang Ada!! Rumah Baru Lingkungan Nyaman Lokasi Singgasana Pradana,Bandung,"3,8 Miliar",3,3,0,145,175,https://www.rumah123.com/properti/bandung/hos9723424/
rumah di mutiara garden city,Bekasi,650 Juta,1,0,0,107,80,https://www.rumah123.com/properti/bekasi/hos9278299/
Rumah dalam cluster di pinggir jalan raya kalimulya Depok,Depok,450 Juta,2,2,0,72,60,https://www.rumah123.com/properti/depok/hos9747639/
"Rumah 2 Lantai Siap Huni, Tanah Baru Beiji, Kota Depok.",Depok,950 Juta,3,3,1,62,100,https://www.rumah123.com/properti/depok/hos9664257/
"Cari Rumah di Depok Langsung Pintu Tol, Tinggal Di Kawasan Elit Golf Ke Jakarta Mudah",Depok,730 Juta,3,2,0,65,56,https://www.rumah123.com/properti/depok/hos8684804/
Cari Rumah di Depok Tanah dan Bangunan Luas 2 Lantai Akses Mudah Dekat Stasiun,Depok,260 Juta,2,1,0,65,40,https://www.rumah123.com/properti/depok/hos8719398/
"Rumah Bebas Banjir, di Jatiasih Bekasi. Dekat Toll Jatiasih",Bekasi,992 Juta,2,2,1,60,50,https://www.rumah123.com/properti/bekasi/hos9604637/
cepat rumah minimalis di perumahan springville residance  bekasi,Bekasi,"2,5 Miliar",3,3,1,120,200,https://www.rumah123.com/properti/bekasi/hos9447650/
cepat rumah termurah di duta bumi harapan indah Bekasi,Bekasi,990 Juta,3,2,0,112,150,https://www.rumah123.com/properti/bekasi/hos8977878/
Rumah mewah cantik siap huni di perumahan taman sari persada jatibening,Bekasi,"3,49 Miliar",4,3,0,160,280,https://www.rumah123.com/properti/bekasi/hos8395625/
Rumah 2 lantai termurah  di Florencia  cikarang,Bekasi,"1,15 Miliar",3,2,0,119,105,https://www.rumah123.com/properti/bekasi/hos6256345/
rumah hook siap huni di grand melati Jatiwarna pondok gede Bekasi,Bekasi,"3,1 Miliar",4,3,0,190,224,https://www.rumah123.com/properti/bekasi/hos8820126/
rumah termurah siap huni di bulevar hijau harapan indah Bekasi,Bekasi,"1,7 Miliar",4,3,0,209,150,https://www.rumah123.com/properti/bekasi/hos9498309/
Rumah rapih hook Sentul city,Bogor,"4,1 Miliar",4,4,2,440,300,https://www.rumah123.com/properti/bogor/hos9126032/
Rumah 4 unit akses dekat toll sawangan dan mal DTC,Depok,775 Juta,3,2,2,60,95,https://www.rumah123.com/properti/depok/hos9780946/
Cluster mewah dan istimewa full bata merah dekat ke toll jatibening,Bekasi,930 Juta,3,2,0,80,76,https://www.rumah123.com/properti/bekasi/hos9302728/
Siap Huni Smart Home Mewah,Bekasi,500 Juta,2,1,1,60,40,https://www.rumah123.com/properti/bekasi/hos9726087/
BEST DEAL!!!RUMAH di CIGADUNG RAYA dekat dengan Kawasan Cafe DAGO,Bandung,"3,85 Miliar",3,2,2,480,150,https://www.rumah123.com/properti/bandung/hos9614403/
Rumah Dijual Murah Segera Daerah Cinere,Depok,5 Miliar,4,3,1,475,185,https://www.rumah123.com/properti/depok/hos9528226/
"Sentul city,bogor",Bogor,"4,5 Miliar",3,2,2,234,252,https://www.rumah123.com/properti/bogor/hos9839721/
Rumah Nyaman Termurah Hitung Hanya Harga Tanah Segalaxy,Bekasi,"2,49 Miliar",4,4,2,305,350,https://www.rumah123.com/properti/bekasi/hos8908931/
Rumah Murah Free Biaya Dekat Tol Jagorawi,Bekasi,605 Juta,2,1,0,75,45,https://www.rumah123.com/properti/bekasi/hos5657120/
Rumah Modern Baru Di Setra duta di Pasteur Bandung,Bandung,"2,85 Miliar",4,3,1,127,160,https://www.rumah123.com/properti/bandung/hos9677313/
Rumah Nyaman di Kawasan Strategis Kota Bandung,Bandung,"3,22 Miliar",3,2,0,120,198,https://www.rumah123.com/properti/bandung/hos8995048/
"Rumah Bergaya Scandinavian Siap Huni Dekat Tol Buahbatu, Free Canopy dan Kitchen Set",Bandung,"1,38 Miliar",3,3,2,100,140,https://www.rumah123.com/properti/bandung/hos9474019/
"Rumah Cantik, Luas, Asri, Full Furnished di Sayap Jl.Purwakarta, Antapani",Bandung,"4,55 Miliar",2,2,4,305,281,https://www.rumah123.com/properti/bandung/hos9514396/
Rumah murah akses mudah..,Bandung,250 Juta,2,1,0,70,50,https://www.rumah123.com/properti/bandung/hos9704706/
Rumah murah akses mudah.,Bandung,217 Juta,2,1,0,50,36,https://www.rumah123.com/properti/bandung/hos9704731/
Rumah tengah kota murah,Bandung,670 Juta,3,2,0,74,110,https://www.rumah123.com/properti/bandung/hos9519238/
cepat rumah di komplek my home,Bandung,"1,1 Miliar",2,2,0,93,73,https://www.rumah123.com/properti/bandung/hos8874786/
Rumah mewah cantik di singgasana pradana,Bandung,"4,2 Miliar",4,3,0,157,250,https://www.rumah123.com/properti/bandung/hos9413468/
Dijual Rumah di Komplek Turangga Bandung cocok untuk investasi,Bandung,"4,85 Miliar",4,2,5,414,350,https://www.rumah123.com/properti/bandung/hos9348596/
Rumah Minimalis Lokasi Startegis Bebas Banjir Harga Terjangkau di Kabupaten Bandung,Bandung,170 Juta,2,1,1,62,40,https://www.rumah123.com/properti/bandung/hos9520724/
"Rumah FULL FURNISHED Lokasi Tengah Kota Cuyyy! Nego Sabi Banget! - Kembar Mas, Regol",Bandung,"2,7 Miliar",3,4,2,120,202,https://www.rumah123.com/properti/bandung/hos9670484/
Rumah asri nyaman dengan view gunung jawa baratlokasi strategis dekat tempat wisata di bandung,Bandung,"1,79 Miliar",2,2,2,120,98,https://www.rumah123.com/properti/bandung/hos9695396/
DI JUAL RUMAH SIAP HUNI.,Bogor,630 Juta,3,2,1,70,83,https://www.rumah123.com/properti/bogor/hos9744185/
Rumah Nyaman Lingkungan Asri di Kopo Katapang,Bandung,399 Juta,2,1,1,72,32,https://www.rumah123.com/properti/bandung/hos9703499/
Rumah minimalis swimming pool sentul city,Bogor,"3,5 Miliar",4,3,1,277,250,https://www.rumah123.com/properti/bogor/hos9597299/
Rumah siap huni view gunung pancar,Bogor,"4,5 Miliar",3,2,2,450,240,https://www.rumah123.com/properti/bogor/hos9181934/
Cluster konsep rumah minimalis di bintara jaya harga termurah lantai 2 lokasi startegis,Bekasi,900 Juta,3,2,1,75,108,https://www.rumah123.com/properti/bekasi/hos7886555/
"Rumah bagus halaman luas, Cihanjuang, Cimahi",Bandung,"2,6 Miliar",7,3,0,402,200,https://www.rumah123.com/properti/bandung/hos7377196/
"Rumah Murah dan Nyaman, Taman Cibaduyut Indah, TCI, Bandung Selatan",Bandung,695 Juta,2,2,0,90,70,https://www.rumah123.com/properti/bandung/hos7221943/
Rumah Cantik Asri Hadap Timur Lebar muka 11 meter Harga dibawah 3 Milyar di Tatar Wangsakerta KBP Bandung,Bandung,"2,6 Miliar",4,3,2,198,230,https://www.rumah123.com/properti/bandung/hos9254419/
Rumah Cantik Asri Luas 200 mtr Hadap Timur di Singgasana Pradana Bandung,Bandung,"2,9 Miliar",3,2,1,203,134,https://www.rumah123.com/properti/bandung/hos9698554/
"Turun Harga, Rumah Baru Dalam Cluster di Tengah Kota Bogor ,  Jl. Dadali ,  Hanya 1,05 M",Bogor,"1,05 Miliar",3,2,0,79,84,https://www.rumah123.com/properti/bogor/hos8143616/
"Selangkah Puri Gading, Bebas Banjir, Akses 2 Mobil di Cluster Jatiasih",Bekasi,560 Juta,2,1,1,60,40,https://www.rumah123.com/properti/bekasi/hos9604177/
Rumah Baru Minimalis Taman Holis Indah 1,Bandung,"1,32 Miliar",3,2,0,75,140,https://www.rumah123.com/properti/bandung/hos9897174/
Di Jual Rumah Cantik Buana Mekar Buah Batu Kamar Tidur 4+1,Bandung,"2,5 Miliar",4,3,1,225,200,https://www.rumah123.com/properti/bandung/hos9650090/
Rumah tepi Danau Z Living Grand Wisata Bekasi,Bekasi,"1,45 Miliar",3,3,2,66,88,https://www.rumah123.com/properti/bekasi/hos9624953/
Rumah Baru Setraduta Grande Axia,Bandung,"2,5 Miliar",3,3,2,97,140,https://www.rumah123.com/properti/bandung/hos9615768/
Rumah Siap Huni 5 Kamar di Kopo Permai Bandung,Bandung,"2,3 Miliar",5,2,0,160,300,https://www.rumah123.com/properti/bandung/hos9640054/
Rumah Vbi 2 Hoek Tanah Luas,Bogor,925 Juta,3,2,1,250,100,https://www.rumah123.com/properti/bogor/hos9625024/
Unit terakhir Rumah Minimalis di komplek Batu Indah dekat Batununggal,Bandung,"1,75 Miliar",3,3,2,100,150,https://www.rumah123.com/properti/bandung/hos9095160/
Rumah Deltamas Cikarang Cluster Calgary Luas 98 Rp. 775 Jt 3 KT 2 KM Siap Huni,Bekasi,775 Juta,3,2,0,98,70,https://www.rumah123.com/properti/bekasi/hos9637790/
Rumah Siap Huni Hanya 9 Menit ke Tol Jati Warna di Cibubur,Bekasi,"1,38 Miliar",3,4,2,91,130,https://www.rumah123.com/properti/bekasi/hos9646721/
"Rumah mewah, nyaman, asri di kabupaten bekasi",Bekasi,850 Juta,3,2,1,60,22,https://www.rumah123.com/properti/bekasi/hos9347604/
Rumah Bagus Siap Huni Di Sukaluyu Dekat Gedung Sate,Bandung,"3,55 Miliar",3,3,1,303,219,https://www.rumah123.com/properti/bandung/hos9648600/
MENAWAN BGT! RUMAH TJAKEP CALON MILIK KAMU NIH DI KOTA BARU PARAHYANGAN BANDUNG,Bandung,"3,95 Miliar",3,2,1,231,250,https://www.rumah123.com/properti/bandung/hos9607014/
Dijaul cepat rumah minimalis siap huni di sakura regency Jatiasih Bekasi selatan,Bekasi,3 Miliar,3,2,0,360,120,https://www.rumah123.com/properti/bekasi/hos9068080/
Rumah  Bagus Lokasi Stategis Berada Di Cluster Florencia -  Lippo Cikarang,Bekasi,"1,35 Miliar",3,2,0,96,128,https://www.rumah123.com/properti/bekasi/hos9675862/
Rumah Modern di THI 2,Bandung,"2,1 Miliar",3,3,0,190,180,https://www.rumah123.com/properti/bandung/hos9211790/
Rumah Lux Minimalis Funished View Bagus,Bandung,"2,3 Miliar",3,3,0,117,220,https://www.rumah123.com/properti/bandung/hos7749918/
Rumah siap huni dekat akses Tol Pasteur Bandung,Bandung,"1,3 Miliar",2,2,0,148,98,https://www.rumah123.com/properti/bandung/hos8158694/
Rumah Siap Huni Minimalis di Batununggal,Bandung,2 Miliar,3,2,0,111,107,https://www.rumah123.com/properti/bandung/hos9441180/
Rumah Cantik Modern di Batununggal Mulia,Bandung,"2,5 Miliar",3,2,1,180,150,https://www.rumah123.com/properti/bandung/hos9340651/
"Rumah Exclusive Dekat Tol Pasteur Bandung utara , Kota Bandung",Bandung,850 Juta,3,2,0,90,65,https://www.rumah123.com/properti/bandung/hos5548358/
Rumah murah cantik lokasi strategis bekasi,Bekasi,180 Juta,2,1,0,62,27,https://www.rumah123.com/properti/bekasi/hos7325663/
Rumah Cantik 2 lntai lokasi strategis di Depok,Depok,481 Juta,2,2,0,40,46,https://www.rumah123.com/properti/depok/hos8080359/
Di  rumah design milenial konsep modern tropis di selatan jakarta bebas banjir,Depok,"1,58 Miliar",3,2,2,120,80,https://www.rumah123.com/properti/depok/hos9390994/
Rumah Baru Siap Huni 5 Kamar Tidur Turangga,Bandung,"2,8 Miliar",4,4,1,146,200,https://www.rumah123.com/properti/bandung/hos9623588/
Rumah Bagus Siap Huni Taman Cibaduyut Indah ,Bandung,750 Juta,3,2,1,102,85,https://www.rumah123.com/properti/bandung/hos9066072/
Rumah Murah asri dan adem di Pasirlayung Padasuka Bandung,Bandung,"1,37 Miliar",4,4,0,274,300,https://www.rumah123.com/properti/bandung/hos9000403/
RUMAH STANDAR MURAH di Bandung,Bandung,327 Juta,2,1,1,45,30,https://www.rumah123.com/properti/bandung/hos9664344/
Rumah Bagus Cocok Untuk Kost Strategis di Gunung Batu Kota Bogor,Bogor,"1,4 Miliar",4,6,0,247,247,https://www.rumah123.com/properti/bogor/hos9497113/
Rumah Asri Siap Huni Dekat Jalan Raya Ciomas ,Bogor,"1,8 Miliar",3,2,2,392,150,https://www.rumah123.com/properti/bogor/hos8558262/
Dijual Rumah Dago Pojok ,Bandung,"3,95 Miliar",5,4,2,235,600,https://www.rumah123.com/properti/bandung/hos9645009/
Rumah lama Terawat Di Sukaluyu,Bandung,"3,55 Miliar",3,2,1,309,219,https://www.rumah123.com/properti/bandung/hos9613312/
Rumah murah sekali,Bandung,"1,9 Miliar",5,1,2,133,135,https://www.rumah123.com/properti/bandung/hos9619482/
Cepat Murah Rumah 2 Lantai Kokoh Terawat Apik Rapi Siap Huni Dalam Perumahan Besar di Harapan Baru Bekasi Barat,Bogor,"1,05 Miliar",4,3,2,112,95,https://www.rumah123.com/properti/bogor/hos9734469/
Rumah baru turangga,Bandung,"2,35 Miliar",4,3,2,126,180,https://www.rumah123.com/properti/bandung/hos8944506/
Rumah besar kembar,Bandung,"4,8 Miliar",4,2,0,499,268,https://www.rumah123.com/properti/bandung/hos7953532/
RUMAH BAGUS BOJONGSOANG,Bandung,"1,35 Miliar",3,2,0,140,168,https://www.rumah123.com/properti/bandung/hos8852254/
Rumah Suasana Nyaman dan Aman Harga Menarik di Cinere,Depok,"1,9 Miliar",3,2,1,115,100,https://www.rumah123.com/properti/depok/hos9639927/
"Rumah di dalam komplek berada di lingkungan nyaman dan asri lokasi strategis di Kelapa dua, Depok",Depok,"3,3 Miliar",5,3,0,325,250,https://www.rumah123.com/properti/depok/hos8911670/
Hunian Strategis Murah Bebas Banjir,Bandung,400 Juta,4,2,0,120,70,https://www.rumah123.com/properti/bandung/hos9639987/
Hunian Murah Strategis Dan Bebas Banjir,Bandung,400 Juta,4,2,0,108,80,https://www.rumah123.com/properti/bandung/hos9639956/
RUMAH MURAH DENGAN POOL 5 KAMAR DALAM TOWNHOUSE DEKAT TOL JATIWARNA DI KODAU JATIMEKAR,Bekasi,995 Juta,3,2,2,91,130,https://www.rumah123.com/properti/bekasi/hos9371002/
RUMAH DI CLUSTER MEWAH DI BEKASI SIAP HUNI,Bekasi,700 Juta,3,2,0,92,82,https://www.rumah123.com/properti/bekasi/hos2279667/
Rumah cantik siap huni termurah di sawangan,Depok,650 Juta,3,2,1,120,80,https://www.rumah123.com/properti/depok/hos9604273/
"Sakura Regency 2 LT 348 LB 200, DIPASARKAN CEPAT &amp; NEGO SAMPAI DEAL !",Bogor,"3,5 Miliar",4,5,0,348,200,https://www.rumah123.com/properti/bogor/hos8165481/
Dijual Rumah Harvest City,Bogor,700 Juta,2,1,0,150,50,https://www.rumah123.com/properti/bogor/hos9571175/
Rumah Bagus Resort Dago Pakar,Bandung,3 Miliar,3,3,0,200,200,https://www.rumah123.com/properti/bandung/hos9072906/
Jual Rumah di Pusat Kota (Pagarsih),Bandung,750 Juta,3,2,0,132,96,https://www.rumah123.com/properti/bandung/hos9603132/
Rumah cluster muslim termurah 10 menit ke Tol Sawangan Depok,Depok,465 Juta,2,1,0,60,45,https://www.rumah123.com/properti/depok/hos9363103/
"Rumah Second Siap Huni Dalam Perumahan, Strategis di Kemang - Depok",Depok,"1,65 Miliar",3,3,1,145,240,https://www.rumah123.com/properti/depok/hos9601819/
Rumah 2 Lantai Cluster Maple Summarecon Bekasi,Bekasi,"2,85 Miliar",4,3,2,162,180,https://www.rumah123.com/properti/bekasi/hos9732426/
Rumah Cantik Dua Lantai Dekat Pemda Bogor,Bogor,788 Juta,3,3,1,79,80,https://www.rumah123.com/properti/bogor/hos9586851/
"Rumah baru 2 lantai, cantik dan strategis dekat tol Cikunir, Jawabarat",Bekasi,"2,25 Miliar",6,5,2,182,255,https://www.rumah123.com/properti/bekasi/hos9599475/
Rumah 2 Lantai Tanah Luas Row Jalan Lebar,Bekasi,675 Juta,2,2,1,48,53,https://www.rumah123.com/properti/bekasi/hos9531327/
Rumah Dijual di Ambrosia Lippo Cikarang,Cikarang,"1,25 Miliar",2,2,0,112,150,https://www.rumah123.com/properti/cikarang/hos8432743/
Rumah Subsidi Siap Huni nyaman di Setu Cibening Bekasi,Bekasi,168 Juta,2,1,0,29,60,https://www.rumah123.com/properti/bekasi/hos9786239/
Rumah Secondary Hanya 350jt Di Bojong Sari Jatiasih Bekasi ,Bekasi,350 Juta,2,1,1,60,36,https://www.rumah123.com/properti/bekasi/hos9786119/
Rumah Modern Minimalis,Bogor,395 Juta,2,1,1,60,45,https://www.rumah123.com/properti/bogor/hos9786065/
Hunian Asri 4Kt Lingkungan Elit Dekat Tol Bekasi Barat Di Pekayon Bekasi,Bekasi,"2,4 Miliar",4,4,1,216,220,https://www.rumah123.com/properti/bekasi/hos8686423/
Rumah Modern Design Mewah lokasi strategis di Galaxy Bekasi ,Bekasi,"1,85 Miliar",4,4,2,120,200,https://www.rumah123.com/properti/bekasi/hos9644968/
rumah hoek dekat pintu masuk cluster,Bandung,"3,5 Miliar",4,3,0,245,200,https://www.rumah123.com/properti/bandung/hos7949412/
Rumah  2 Lantai Baru Renovasi di Raffles Hills Cibubur,Depok,"1,5 Miliar",3,3,0,112,120,https://www.rumah123.com/properti/depok/hos6274083/
Rumah mungil Mini Cluster  Muraaah Di Pasir Putih Depok,Depok,135 Juta,2,1,0,30,28,https://www.rumah123.com/properti/depok/hos9366359/
"Type 48 Greenland Kalijaga, Sistem One Gateway. Dekat Dengan Pusat Kota Cirebon",Cirebon,550 Juta,2,1,0,90,48,https://www.rumah123.com/properti/cirebon/hos2668265/
Greenland Sendang Rumah Harga Terjangkau Investasi Terbaik Di Cirebon,Cirebon,550 Juta,2,1,0,84,48,https://www.rumah123.com/properti/cirebon/hos4665997/
Rumah Mewah Modern Minimalis Investasi Terbaik Anda Sekarang di Cirebon,Indramayu,750 Juta,3,2,0,85,78,https://www.rumah123.com/properti/indramayu/hos6543999/
Siap Huni Harga Terjangkau Rumah Mewah Greenland Sendang,Cirebon,550 Juta,2,1,0,80,48,https://www.rumah123.com/properti/cirebon/hos2668152/
Rumah Minimalis 5 Menit Aeon Mall Sentul City Bogor,Bogor,"1,1 Miliar",3,2,1,90,150,https://www.rumah123.com/properti/bogor/hos9759726/
Rumah Murah Minimalis Permata cisaranteun Arcamanik Bandung,Bandung,650 Juta,2,1,1,100,45,https://www.rumah123.com/properti/bandung/hos9726937/
Turun Harga Rumah Minimalis Cluster Florence Kalijati Indah Antapani Bandung,Bandung,"1,8 Miliar",3,3,2,124,139,https://www.rumah123.com/properti/bandung/hos9304253/
Turun Harga Rumah Murah Arcamanik Bandung,Bandung,"1,45 Miliar",4,2,2,220,150,https://www.rumah123.com/properti/bandung/hos9304342/
Rumah Baru Lux Minimalis  Elsa di Summarecon Bandung,Bandung,"3,06 Miliar",3,3,0,190,153,https://www.rumah123.com/properti/bandung/hos8886516/
Jarang Ada! Rumah Lama Terawat di Sayap Lodaya - Cocok Untuk Dijadikan Kost2 an,Bandung,"2,4 Miliar",3,1,1,184,150,https://www.rumah123.com/properti/bandung/hos9743646/
Cepat Rumah di Komplek Pesona Pasteur Harga Dibawah Pasar & Masih Nego,Bandung,835 Juta,2,1,1,97,60,https://www.rumah123.com/properti/bandung/hos9743716/
Cepat Rumah Minimalis di Kota Baru Parahyangan - Tatar Purba,Bandung,"1,45 Miliar",2,1,1,126,80,https://www.rumah123.com/properti/bandung/hos9743929/
TOWN HOUSE - THE CASCADE,Bandung,"1,55 Miliar",2,4,4,63,149,https://www.rumah123.com/properti/bandung/hos9527649/
Rumah Siap Huni di Sariwangi Asri,Bandung,"1,5 Miliar",3,2,0,98,90,https://www.rumah123.com/properti/bandung/hos6389068/
Rumah murah di Ciumbuleuit,Bandung,"4,6 Miliar",4,3,0,230,320,https://www.rumah123.com/properti/bandung/hos2807605/
Rumah minimalis syariah (non KPR),Bandung,500 Juta,2,1,0,120,80,https://www.rumah123.com/properti/bandung/hos7103892/
rumah minimalis syariah (CASH ONLY),Bandung,525 Juta,3,2,0,120,90,https://www.rumah123.com/properti/bandung/hos7290246/
LANGKA& Murah ! Rumah 2 Lantai di Taman Anggrek dekat festifal citylink Sayap Peta strategis tengah kota!,Bandung,"2,9 Miliar",4,4,0,154,185,https://www.rumah123.com/properti/bandung/hos9015895/
LUAS 182 M2 RUMAH SIAP HUNI DI CICAHEUM DKT MAINROAD JL. RAYA A.H.NASUTION,Bandung,"2,1 Miliar",3,2,1,185,100,https://www.rumah123.com/properti/bandung/hos9743481/
Rumah murah bisa untuk kost-an di damar setiabudi,Bandung,"2,25 Miliar",10,4,0,214,318,https://www.rumah123.com/properti/bandung/hos8266250/
Murah !! rumah bagus di setraduta cemara,Bandung,"3,5 Miliar",5,3,2,254,360,https://www.rumah123.com/properti/bandung/hos9740778/
"Banting harga! Rumah 2 lantai Siap Huni di area depan di  Harapan Indah 1, Bekasi",Bekasi,750 Juta,4,2,0,94,120,https://www.rumah123.com/properti/bekasi/hos9258880/
Rumah harga promo di depok dekat gerbang tol,Depok,300 Juta,2,1,1,60,40,https://www.rumah123.com/properti/depok/hos9743132/
"Rumah MURAH Arcamanik, Siap Huni! Dkt Griya, Lokasi Juara",Bandung,"1,69 Miliar",3,3,1,220,180,https://www.rumah123.com/properti/bandung/hos9743045/
RUMAH MURAH 2 LANTAI SIAP HUNI DI CIBINONG DEKAT PAKANSARI,Bogor,899 Juta,3,2,1,66,60,https://www.rumah123.com/properti/bogor/hos9742844/
Rumah hook type premium di blue bell Summarecon y,Bekasi,"2,85 Miliar",4,4,0,216,200,https://www.rumah123.com/properti/bekasi/hos8599020/
GDC Depok,Depok,660 Juta,2,1,0,78,36,https://www.rumah123.com/properti/depok/hos8262269/
GDC Tajur Halang,Bogor,390 Juta,2,1,0,84,36,https://www.rumah123.com/properti/bogor/hos8262364/
GDC Tajur Halang,Bogor,390 Juta,2,1,0,84,36,https://www.rumah123.com/properti/bogor/hos8262364/
Metland non Cluster,Bogor,440 Juta,2,1,0,107,36,https://www.rumah123.com/properti/bogor/hos8147138/
Rumah modern lokasi strategis komplek cinere dekat pintu tol,Depok,"1,7 Miliar",3,4,2,100,130,https://www.rumah123.com/properti/depok/hos9557135/
Rumah hunian,Bandung,173 Juta,2,1,0,50,30,https://www.rumah123.com/properti/bandung/hos9190769/
