name,link,city,price,bedroom,bathroom,parkingarea,surfacearea,buildingarea
Rumah Minimalis Strategis 1M an 400 mtr Ke Carrefour Kiaracondong Bandung,https://www.rumah123.com/properti/bandung/hos6907136/,Bandung,"1,17 Miliar",3,3,0,72,100
Rumah Siap Huni Strategis 300 Meter Ke Carrefour Buah Batu Bandung,https://www.rumah123.com/properti/bandung/hos8820015/,Bandung,905 Juta,2,1,0,72,60
Rumah murah modern dekat kota bandung,https://www.rumah123.com/properti/bandung/hos8587825/,Bandung,175 Juta,2,1,1,45,70
Cepat Rumah Murah di Cluster Terdepan Harapan Indah Regency Bekasi,https://www.rumah123.com/properti/bekasi/hos9280020/,Bekasi,"1,92 Miliar",4,2,1,160,160
Rumah Klasik Murah 1M an Samping Transmart Studio Mall Bandung,https://www.rumah123.com/properti/bandung/hos7703458/,Bandung,"1,18 Miliar",3,1,0,120,90
Rumah murah chas dan bertahap,https://www.rumah123.com/properti/bogor/hos9952039/,Depok,350 Juta,2,1,1,66,45
"Rumah Bagus Sangat Murah,  Masih Baru di Sawangan hanya seharga Mobil  Avanza",https://www.rumah123.com/properti/depok/hos9512845/,Depok,220 Juta,2,1,1,65,40
Rumah Baru Bagus sekali view gunung udara bersih bebas polusi  MURAH .,https://www.rumah123.com/properti/bogor/hos9311091/,Bogor,"1,6 Miliar",3,2,0,126,102
"Rumah Murah Banget,  Nyaman Baru Renovasi , Siap Pakai di Harapan Indah Bekasi",https://www.rumah123.com/properti/bekasi/hos9474452/,Bekasi,570 Juta,2,1,0,65,45
Rumah Bagus Baru Renov cuma seharga Mobil Wuling Mau ? Ayo sebelum keduluan .,https://www.rumah123.com/properti/bekasi/hos9474774/,Bekasi,375 Juta,2,1,0,65,40
Jarang Ada!! Rumah Baru Lingkungan Nyaman Lokasi Singgasana Pradana,https://www.rumah123.com/properti/bandung/hos9723424/,Bandung,"3,8 Miliar",3,3,0,145,175
Rumah dalam cluster di pinggir jalan raya kalimulya Depok,https://www.rumah123.com/properti/depok/hos9747639/,Depok,450 Juta,2,2,0,72,60
"Rumah 2 Lantai Siap Huni, Tanah Baru Beiji, Kota Depok.",https://www.rumah123.com/properti/depok/hos9664257/,Depok,950 Juta,3,3,1,62,100
"Cari Rumah di Depok Langsung Pintu Tol, Tinggal Di Kawasan Elit Golf Ke Jakarta Mudah",https://www.rumah123.com/properti/depok/hos8684804/,Depok,730 Juta,3,2,0,65,56
Cari Rumah di Depok Tanah dan Bangunan Luas 2 Lantai Akses Mudah Dekat Stasiun,https://www.rumah123.com/properti/depok/hos8719398/,Depok,260 Juta,2,1,0,65,40
"Rumah Bebas Banjir, di Jatiasih Bekasi. Dekat Toll Jatiasih",https://www.rumah123.com/properti/bekasi/hos9604637/,Bekasi,992 Juta,2,2,1,60,50
cepat rumah minimalis di perumahan springville residance  bekasi,https://www.rumah123.com/properti/bekasi/hos9447650/,Bekasi,"2,5 Miliar",3,3,1,120,200
cepat rumah termurah di duta bumi harapan indah Bekasi,https://www.rumah123.com/properti/bekasi/hos8977878/,Bekasi,990 Juta,3,2,0,112,150
Rumah mewah cantik siap huni di perumahan taman sari persada jatibening,https://www.rumah123.com/properti/bekasi/hos8395625/,Bekasi,"3,49 Miliar",4,3,0,160,280
Rumah 2 lantai termurah  di Florencia  cikarang,https://www.rumah123.com/properti/bekasi/hos6256345/,Bekasi,"1,15 Miliar",3,2,0,119,105
rumah hook siap huni di grand melati Jatiwarna pondok gede Bekasi,https://www.rumah123.com/properti/bekasi/hos8820126/,Bekasi,"3,1 Miliar",4,3,0,190,224
rumah termurah siap huni di bulevar hijau harapan indah Bekasi,https://www.rumah123.com/properti/bekasi/hos9498309/,Bekasi,"1,7 Miliar",4,3,0,209,150
Rumah 4 unit akses dekat toll sawangan dan mal DTC,https://www.rumah123.com/properti/depok/hos9780946/,Depok,775 Juta,3,2,2,60,95
Cluster mewah dan istimewa full bata merah dekat ke toll jatibening,https://www.rumah123.com/properti/bekasi/hos9302728/,Bekasi,930 Juta,3,2,0,80,76
Siap Huni Smart Home Mewah,https://www.rumah123.com/properti/bekasi/hos9726087/,Bekasi,500 Juta,2,1,1,60,40
Rumah Murah Free Biaya Dekat Tol Jagorawi,https://www.rumah123.com/properti/bekasi/hos5657120/,Bekasi,605 Juta,2,1,0,75,45
Rumah Modern Baru Di Setra duta di Pasteur Bandung,https://www.rumah123.com/properti/bandung/hos9677313/,Bandung,"2,85 Miliar",4,3,1,127,160
Rumah Nyaman di Kawasan Strategis Kota Bandung,https://www.rumah123.com/properti/bandung/hos8995048/,Bandung,"3,22 Miliar",3,2,0,120,198
"Rumah Bergaya Scandinavian Siap Huni Dekat Tol Buahbatu, Free Canopy dan Kitchen Set",https://www.rumah123.com/properti/bandung/hos9474019/,Bandung,"1,38 Miliar",3,3,2,100,140
Rumah murah akses mudah..,https://www.rumah123.com/properti/bandung/hos9704706/,Bandung,250 Juta,2,1,0,70,50
Rumah murah akses mudah.,https://www.rumah123.com/properti/bandung/hos9704731/,Bandung,217 Juta,2,1,0,50,36
Rumah tengah kota murah,https://www.rumah123.com/properti/bandung/hos9519238/,Bandung,670 Juta,3,2,0,74,110
cepat rumah di komplek my home,https://www.rumah123.com/properti/bandung/hos8874786/,Bandung,"1,1 Miliar",2,2,0,93,73
Rumah Minimalis Lokasi Startegis Bebas Banjir Harga Terjangkau di Kabupaten Bandung,https://www.rumah123.com/properti/bandung/hos9520724/,Bandung,170 Juta,2,1,1,62,40
"Rumah FULL FURNISHED Lokasi Tengah Kota Cuyyy! Nego Sabi Banget! - Kembar Mas, Regol",https://www.rumah123.com/properti/bandung/hos9670484/,Bandung,"2,7 Miliar",3,4,2,120,202
Rumah asri nyaman dengan view gunung jawa baratlokasi strategis dekat tempat wisata di bandung,https://www.rumah123.com/properti/bandung/hos9695396/,Bandung,"1,79 Miliar",2,2,2,120,98
DI JUAL RUMAH SIAP HUNI.,https://www.rumah123.com/properti/bogor/hos9744185/,Bogor,630 Juta,3,2,1,70,83
Rumah Nyaman Lingkungan Asri di Kopo Katapang,https://www.rumah123.com/properti/bandung/hos9703499/,Bandung,399 Juta,2,1,1,72,32
Rumah minimalis swimming pool sentul city,https://www.rumah123.com/properti/bogor/hos9597299/,Bogor,"3,5 Miliar",4,3,1,277,250
"Rumah Murah dan Nyaman, Taman Cibaduyut Indah, TCI, Bandung Selatan",https://www.rumah123.com/properti/bandung/hos7221943/,Bandung,695 Juta,2,2,0,90,70
Rumah Cantik Asri Hadap Timur Lebar muka 11 meter Harga dibawah 3 Milyar di Tatar Wangsakerta KBP Bandung,https://www.rumah123.com/properti/bandung/hos9254419/,Bandung,"2,6 Miliar",4,3,2,198,230
Rumah Cantik Asri Luas 200 mtr Hadap Timur di Singgasana Pradana Bandung,https://www.rumah123.com/properti/bandung/hos9698554/,Bandung,"2,9 Miliar",3,2,1,203,134
"Turun Harga, Rumah Baru Dalam Cluster di Tengah Kota Bogor ,  Jl. Dadali ,  Hanya 1,05 M",https://www.rumah123.com/properti/bogor/hos8143616/,Bogor,"1,05 Miliar",3,2,0,79,84
"Selangkah Puri Gading, Bebas Banjir, Akses 2 Mobil di Cluster Jatiasih",https://www.rumah123.com/properti/bekasi/hos9604177/,Bekasi,560 Juta,2,1,1,60,40
Rumah Baru Minimalis Taman Holis Indah 1,https://www.rumah123.com/properti/bandung/hos9897174/,Bandung,"1,32 Miliar",3,2,0,75,140
Di Jual Rumah Cantik Buana Mekar Buah Batu Kamar Tidur 4+1,https://www.rumah123.com/properti/bandung/hos9650090/,Bandung,"2,5 Miliar",4,3,1,225,200
Rumah tepi Danau Z Living Grand Wisata Bekasi,https://www.rumah123.com/properti/bekasi/hos9624953/,Bekasi,"1,45 Miliar",3,3,2,66,88
Rumah Baru Setraduta Grande Axia,https://www.rumah123.com/properti/bandung/hos9615768/,Bandung,"2,5 Miliar",3,3,2,97,140
Rumah Vbi 2 Hoek Tanah Luas,https://www.rumah123.com/properti/bogor/hos9625024/,Bogor,925 Juta,3,2,1,250,100
Unit terakhir Rumah Minimalis di komplek Batu Indah dekat Batununggal,https://www.rumah123.com/properti/bandung/hos9095160/,Bandung,"1,75 Miliar",3,3,2,100,150
Rumah Deltamas Cikarang Cluster Calgary Luas 98 Rp. 775 Jt 3 KT 2 KM Siap Huni,https://www.rumah123.com/properti/bekasi/hos9637790/,Bekasi,775 Juta,3,2,0,98,70
Rumah Siap Huni Hanya 9 Menit ke Tol Jati Warna di Cibubur,https://www.rumah123.com/properti/bekasi/hos9646721/,Bekasi,"1,38 Miliar",3,4,2,91,130
"Rumah mewah, nyaman, asri di kabupaten bekasi",https://www.rumah123.com/properti/bekasi/hos9347604/,Bekasi,850 Juta,3,2,1,60,22
MENAWAN BGT! RUMAH TJAKEP CALON MILIK KAMU NIH DI KOTA BARU PARAHYANGAN BANDUNG,https://www.rumah123.com/properti/bandung/hos9607014/,Bandung,"3,95 Miliar",3,2,1,231,250
Rumah  Bagus Lokasi Stategis Berada Di Cluster Florencia -  Lippo Cikarang,https://www.rumah123.com/properti/bekasi/hos9675862/,Bekasi,"1,35 Miliar",3,2,0,96,128
Rumah Modern di THI 2,https://www.rumah123.com/properti/bandung/hos9211790/,Bandung,"2,1 Miliar",3,3,0,190,180
Rumah Lux Minimalis Funished View Bagus,https://www.rumah123.com/properti/bandung/hos7749918/,Bandung,"2,3 Miliar",3,3,0,117,220
Rumah siap huni dekat akses Tol Pasteur Bandung,https://www.rumah123.com/properti/bandung/hos8158694/,Bandung,"1,3 Miliar",2,2,0,148,98
Rumah Siap Huni Minimalis di Batununggal,https://www.rumah123.com/properti/bandung/hos9441180/,Bandung,2 Miliar,3,2,0,111,107
Rumah Cantik Modern di Batununggal Mulia,https://www.rumah123.com/properti/bandung/hos9340651/,Bandung,"2,5 Miliar",3,2,1,180,150
"Rumah Exclusive Dekat Tol Pasteur Bandung utara , Kota Bandung",https://www.rumah123.com/properti/bandung/hos5548358/,Bandung,850 Juta,3,2,0,90,65
Rumah murah cantik lokasi strategis bekasi,https://www.rumah123.com/properti/bekasi/hos7325663/,Bekasi,180 Juta,2,1,0,62,27
Rumah Cantik 2 lntai lokasi strategis di Depok,https://www.rumah123.com/properti/depok/hos8080359/,Depok,481 Juta,2,2,0,40,46
Di  rumah design milenial konsep modern tropis di selatan jakarta bebas banjir,https://www.rumah123.com/properti/depok/hos9390994/,Depok,"1,58 Miliar",3,2,2,120,80
Rumah Baru Siap Huni 5 Kamar Tidur Turangga,https://www.rumah123.com/properti/bandung/hos9623588/,Bandung,"2,8 Miliar",4,4,1,146,200
Rumah Bagus Siap Huni Taman Cibaduyut Indah ,https://www.rumah123.com/properti/bandung/hos9066072/,Bandung,750 Juta,3,2,1,102,85
Rumah Murah asri dan adem di Pasirlayung Padasuka Bandung,https://www.rumah123.com/properti/bandung/hos9000403/,Bandung,"1,37 Miliar",4,4,0,274,300
RUMAH STANDAR MURAH di Bandung,https://www.rumah123.com/properti/bandung/hos9664344/,Bandung,327 Juta,2,1,1,45,30
Rumah Bagus Cocok Untuk Kost Strategis di Gunung Batu Kota Bogor,https://www.rumah123.com/properti/bogor/hos9497113/,Bogor,"1,4 Miliar",4,6,0,247,247
Cepat Murah Rumah 2 Lantai Kokoh Terawat Apik Rapi Siap Huni Dalam Perumahan Besar di Harapan Baru Bekasi Barat,https://www.rumah123.com/properti/bogor/hos9734469/,Bogor,"1,05 Miliar",4,3,2,112,95
Rumah baru turangga,https://www.rumah123.com/properti/bandung/hos8944506/,Bandung,"2,35 Miliar",4,3,2,126,180
RUMAH BAGUS BOJONGSOANG,https://www.rumah123.com/properti/bandung/hos8852254/,Bandung,"1,35 Miliar",3,2,0,140,168
Rumah Suasana Nyaman dan Aman Harga Menarik di Cinere,https://www.rumah123.com/properti/depok/hos9639927/,Depok,"1,9 Miliar",3,2,1,115,100
Hunian Strategis Murah Bebas Banjir,https://www.rumah123.com/properti/bandung/hos9639987/,Bandung,400 Juta,4,2,0,120,70
Hunian Murah Strategis Dan Bebas Banjir,https://www.rumah123.com/properti/bandung/hos9639956/,Bandung,400 Juta,4,2,0,108,80
RUMAH MURAH DENGAN POOL 5 KAMAR DALAM TOWNHOUSE DEKAT TOL JATIWARNA DI KODAU JATIMEKAR,https://www.rumah123.com/properti/bekasi/hos9371002/,Bekasi,995 Juta,3,2,2,91,130
RUMAH DI CLUSTER MEWAH DI BEKASI SIAP HUNI,https://www.rumah123.com/properti/bekasi/hos2279667/,Bekasi,700 Juta,3,2,0,92,82
Rumah cantik siap huni termurah di sawangan,https://www.rumah123.com/properti/depok/hos9604273/,Depok,650 Juta,3,2,1,120,80
Dijual Rumah Harvest City,https://www.rumah123.com/properti/bogor/hos9571175/,Bogor,700 Juta,2,1,0,150,50
Rumah Bagus Resort Dago Pakar,https://www.rumah123.com/properti/bandung/hos9072906/,Bandung,3 Miliar,3,3,0,200,200
Jual Rumah di Pusat Kota (Pagarsih),https://www.rumah123.com/properti/bandung/hos9603132/,Bandung,750 Juta,3,2,0,132,96
Rumah cluster muslim termurah 10 menit ke Tol Sawangan Depok,https://www.rumah123.com/properti/depok/hos9363103/,Depok,465 Juta,2,1,0,60,45
"Rumah Second Siap Huni Dalam Perumahan, Strategis di Kemang - Depok",https://www.rumah123.com/properti/depok/hos9601819/,Depok,"1,65 Miliar",3,3,1,145,240
Rumah 2 Lantai Cluster Maple Summarecon Bekasi,https://www.rumah123.com/properti/bekasi/hos9732426/,Bekasi,"2,85 Miliar",4,3,2,162,180
Rumah Cantik Dua Lantai Dekat Pemda Bogor,https://www.rumah123.com/properti/bogor/hos9586851/,Bogor,788 Juta,3,3,1,79,80
Rumah 2 Lantai Tanah Luas Row Jalan Lebar,https://www.rumah123.com/properti/bekasi/hos9531327/,Bekasi,675 Juta,2,2,1,48,53
Rumah Dijual di Ambrosia Lippo Cikarang,https://www.rumah123.com/properti/cikarang/hos8432743/,Cikarang,"1,25 Miliar",2,2,0,112,150
Rumah Subsidi Siap Huni nyaman di Setu Cibening Bekasi,https://www.rumah123.com/properti/bekasi/hos9786239/,Bekasi,168 Juta,2,1,0,29,60
Rumah Secondary Hanya 350jt Di Bojong Sari Jatiasih Bekasi ,https://www.rumah123.com/properti/bekasi/hos9786119/,Bekasi,350 Juta,2,1,1,60,36
Rumah Modern Minimalis,https://www.rumah123.com/properti/bogor/hos9786065/,Bogor,395 Juta,2,1,1,60,45
Hunian Asri 4Kt Lingkungan Elit Dekat Tol Bekasi Barat Di Pekayon Bekasi,https://www.rumah123.com/properti/bekasi/hos8686423/,Bekasi,"2,4 Miliar",4,4,1,216,220
Rumah Modern Design Mewah lokasi strategis di Galaxy Bekasi ,https://www.rumah123.com/properti/bekasi/hos9644968/,Bekasi,"1,85 Miliar",4,4,2,120,200
rumah hoek dekat pintu masuk cluster,https://www.rumah123.com/properti/bandung/hos7949412/,Bandung,"3,5 Miliar",4,3,0,245,200
Rumah  2 Lantai Baru Renovasi di Raffles Hills Cibubur,https://www.rumah123.com/properti/depok/hos6274083/,Depok,"1,5 Miliar",3,3,0,112,120
Rumah mungil Mini Cluster  Muraaah Di Pasir Putih Depok,https://www.rumah123.com/properti/depok/hos9366359/,Depok,135 Juta,2,1,0,30,28
"Type 48 Greenland Kalijaga, Sistem One Gateway. Dekat Dengan Pusat Kota Cirebon",https://www.rumah123.com/properti/cirebon/hos2668265/,Cirebon,550 Juta,2,1,0,90,48
Greenland Sendang Rumah Harga Terjangkau Investasi Terbaik Di Cirebon,https://www.rumah123.com/properti/cirebon/hos4665997/,Cirebon,550 Juta,2,1,0,84,48
Rumah Mewah Modern Minimalis Investasi Terbaik Anda Sekarang di Cirebon,https://www.rumah123.com/properti/indramayu/hos6543999/,Indramayu,750 Juta,3,2,0,85,78
Siap Huni Harga Terjangkau Rumah Mewah Greenland Sendang,https://www.rumah123.com/properti/cirebon/hos2668152/,Cirebon,550 Juta,2,1,0,80,48
Rumah Minimalis 5 Menit Aeon Mall Sentul City Bogor,https://www.rumah123.com/properti/bogor/hos9759726/,Bogor,"1,1 Miliar",3,2,1,90,150
Rumah Murah Minimalis Permata cisaranteun Arcamanik Bandung,https://www.rumah123.com/properti/bandung/hos9726937/,Bandung,650 Juta,2,1,1,100,45
Turun Harga Rumah Minimalis Cluster Florence Kalijati Indah Antapani Bandung,https://www.rumah123.com/properti/bandung/hos9304253/,Bandung,"1,8 Miliar",3,3,2,124,139
Turun Harga Rumah Murah Arcamanik Bandung,https://www.rumah123.com/properti/bandung/hos9304342/,Bandung,"1,45 Miliar",4,2,2,220,150
Rumah Baru Lux Minimalis  Elsa di Summarecon Bandung,https://www.rumah123.com/properti/bandung/hos8886516/,Bandung,"3,06 Miliar",3,3,0,190,153
Jarang Ada! Rumah Lama Terawat di Sayap Lodaya - Cocok Untuk Dijadikan Kost2 an,https://www.rumah123.com/properti/bandung/hos9743646/,Bandung,"2,4 Miliar",3,1,1,184,150
Cepat Rumah di Komplek Pesona Pasteur Harga Dibawah Pasar & Masih Nego,https://www.rumah123.com/properti/bandung/hos9743716/,Bandung,835 Juta,2,1,1,97,60
Cepat Rumah Minimalis di Kota Baru Parahyangan - Tatar Purba,https://www.rumah123.com/properti/bandung/hos9743929/,Bandung,"1,45 Miliar",2,1,1,126,80
Rumah Siap Huni di Sariwangi Asri,https://www.rumah123.com/properti/bandung/hos6389068/,Bandung,"1,5 Miliar",3,2,0,98,90
Rumah minimalis syariah (non KPR),https://www.rumah123.com/properti/bandung/hos7103892/,Bandung,500 Juta,2,1,0,120,80
rumah minimalis syariah (CASH ONLY),https://www.rumah123.com/properti/bandung/hos7290246/,Bandung,525 Juta,3,2,0,120,90
LANGKA& Murah ! Rumah 2 Lantai di Taman Anggrek dekat festifal citylink Sayap Peta strategis tengah kota!,https://www.rumah123.com/properti/bandung/hos9015895/,Bandung,"2,9 Miliar",4,4,0,154,185
LUAS 182 M2 RUMAH SIAP HUNI DI CICAHEUM DKT MAINROAD JL. RAYA A.H.NASUTION,https://www.rumah123.com/properti/bandung/hos9743481/,Bandung,"2,1 Miliar",3,2,1,185,100
"Banting harga! Rumah 2 lantai Siap Huni di area depan di  Harapan Indah 1, Bekasi",https://www.rumah123.com/properti/bekasi/hos9258880/,Bekasi,750 Juta,4,2,0,94,120
Rumah harga promo di depok dekat gerbang tol,https://www.rumah123.com/properti/depok/hos9743132/,Depok,300 Juta,2,1,1,60,40
"Rumah MURAH Arcamanik, Siap Huni! Dkt Griya, Lokasi Juara",https://www.rumah123.com/properti/bandung/hos9743045/,Bandung,"1,69 Miliar",3,3,1,220,180
RUMAH MURAH 2 LANTAI SIAP HUNI DI CIBINONG DEKAT PAKANSARI,https://www.rumah123.com/properti/bogor/hos9742844/,Bogor,899 Juta,3,2,1,66,60
Rumah hook type premium di blue bell Summarecon y,https://www.rumah123.com/properti/bekasi/hos8599020/,Bekasi,"2,85 Miliar",4,4,0,216,200
GDC Depok,https://www.rumah123.com/properti/depok/hos8262269/,Depok,660 Juta,2,1,0,78,36
GDC Tajur Halang,https://www.rumah123.com/properti/bogor/hos8262364/,Bogor,390 Juta,2,1,0,84,36
Metland non Cluster,https://www.rumah123.com/properti/bogor/hos8147138/,Bogor,440 Juta,2,1,0,107,36
Rumah modern lokasi strategis komplek cinere dekat pintu tol,https://www.rumah123.com/properti/depok/hos9557135/,Depok,"1,7 Miliar",3,4,2,100,130
Rumah hunian,https://www.rumah123.com/properti/bandung/hos9190769/,Bandung,173 Juta,2,1,0,50,30
Rumah lama terawat dalam komplek cinere dekat tol krukut,https://www.rumah123.com/properti/depok/hos9515221/,Depok,"1,7 Miliar",3,2,1,205,150
Rumah cantik dan murah dalam komplek cinere dekat tol.krukut,https://www.rumah123.com/properti/depok/hos9738081/,Depok,"1,05 Miliar",2,1,1,105,75
Coba Hitung Dehh.. Ini Worth It Banget !! Puri Cipageran Indah 1 dekat pasar lapangan Cimahi Utara,https://www.rumah123.com/properti/cimahi/hos9740922/,Cimahi,845 Juta,4,2,1,97,196
Rumah minimalis Deket kuliner renijaya paling murah,https://www.rumah123.com/properti/depok/hos9570244/,Depok,575 Juta,2,1,1,68,40
Rumah Dlm Cluster Asri Nyaman & Aman Udara Sejuk Di Sentul Bogor,https://www.rumah123.com/properti/bogor/hos9634659/,Bogor,950 Juta,3,3,1,90,160
cepat rumah termurah 2 lantai di cluster samata harapan indah Bekasi,https://www.rumah123.com/properti/bekasi/hos9663310/,Bekasi,"1,35 Miliar",2,2,1,144,90
Rumah mewah terlaris disawangan tahap 5,https://www.rumah123.com/properti/depok/hos9778888/,Depok,315 Juta,2,1,1,51,36
Rumah cantik siap huni dalam cluster kota wisata,https://www.rumah123.com/properti/bogor/hos8950181/,Bogor,"2,5 Miliar",3,3,0,276,153
"Rumah readi siap huni,mewah dan berkwalitas",https://www.rumah123.com/properti/depok/hos9696747/,Depok,180 Juta,2,1,0,38,32
Rumah Bagus Minimalis di Istana regency Bandung,https://www.rumah123.com/properti/bandung/hos9697063/,Bandung,"1,5 Miliar",3,2,0,77,110
Dijual Rumah Mewah Jl. Cigadung Bandung,https://www.rumah123.com/properti/bandung/hos9225816/,Bandung,"3,2 Miliar",2,2,1,210,100
Rumah Brand New Modern Classic Style Dalam Komplek Asri Di Cinere,https://www.rumah123.com/properti/depok/hos9682286/,Depok,"2,3 Miliar",3,2,1,101,150
Rumah murah bagus tanah luas 588m2 kadugede kuningan jawa barat,https://www.rumah123.com/properti/kuningan/hos8152987/,Kuningan,285 Juta,3,2,0,58,100
Turun Harga!! Rumah bojong kulur tempat strategis  dekat Labschool.kaizen,https://www.rumah123.com/properti/bogor/hos4566447/,Bogor,495 Juta,3,2,0,112,200
TOWNHOUSE 2 LANTAI ASRI SEJUK DAN STRATEGIS,https://www.rumah123.com/properti/depok/hos9697368/,Depok,398 Juta,3,2,2,88,54
Rumah Bagus Siap Huni di Griya Hijau Depok,https://www.rumah123.com/properti/depok/hos9587652/,Depok,1 Miliar,3,2,2,90,100
Rumah Siap Huni Tanah Luas Murah (Harga BU) di Kemang Pratama 2,https://www.rumah123.com/properti/bekasi/hos9472698/,Bekasi,"1,7 Miliar",4,3,2,210,108
SUPER LANGKA!! Rumah Cantik Minimalis 2 Unit di Mekar wangi,https://www.rumah123.com/properti/bandung/hos9677916/,Bandung,"3,1 Miliar",4,3,1,130,195
Rumah Model Minimalis 1 Lantai Bebas Banjir Free Biaya-biaya ,https://www.rumah123.com/properti/bekasi/hos9597465/,Bekasi,345 Juta,2,1,1,60,32
Rumah 2 Lantai Paling Murah dekat pintu Tol Jati Asih,https://www.rumah123.com/properti/bekasi/hos9545332/,Bekasi,"1,35 Miliar",2,2,1,83,100
Rumah Islami Dago Dekat Kampus ITB Bandung,https://www.rumah123.com/properti/bandung/hos9325198/,Bandung,"2,49 Miliar",4,3,1,152,150
Cepat Rumah Murah komplek Taruna Ujungberung,https://www.rumah123.com/properti/bandung/hos9631709/,Bandung,"1,2 Miliar",3,2,1,210,80
HUNIAN MEWAH DEKAT PUSAT KOTA 2 LANTAI 2 KAMAR TIDUR ,https://www.rumah123.com/properti/bandung/hos7859953/,Bandung,987 Juta,3,2,1,62,62
RUMAH MEWAH 2 LANTAI 2 KAMAR TIDUR DI KATAPANG,https://www.rumah123.com/properti/bandung/hos8848758/,Bandung,600 Juta,2,2,1,60,47
Rumah Baru Casa Grande Setraduta 18,https://www.rumah123.com/properti/bandung/hos9539701/,Bandung,"3,57 Miliar",4,3,2,135,189
Rumah Baru Casa Victoria Setraduta,https://www.rumah123.com/properti/bandung/hos8666973/,Bandung,"2,62 Miliar",3,3,2,76,225
Rumah minimalis ciwastra dengan smart lock system,https://www.rumah123.com/properti/bandung/hos9228567/,Bandung,650 Juta,2,1,1,80,51
Rumah Over Murah Cileungsi,https://www.rumah123.com/properti/bogor/hos9365168/,Bogor,550 Juta,2,1,0,90,36
Rumah Minimalis di Babakan Jeruk,https://www.rumah123.com/properti/bandung/hos9510272/,Bandung,"3,2 Miliar",3,3,2,157,180
Cepat Rumah Murah Arcamanik,https://www.rumah123.com/properti/bandung/hos9543452/,Bandung,2 Miliar,3,3,2,156,200
"Rumah Baru Nuansa Villa, View Cantik Udara Sejuk Segar Berkabut",https://www.rumah123.com/properti/bandung/hos9258730/,Bandung,740 Juta,2,1,0,112,42
Rumah Baru Nuansa Villa di Cilame dekat Kota Baru Parahyangan,https://www.rumah123.com/properti/bandung/hos9634724/,Bandung,626 Juta,3,2,1,90,70
"Rumah Baru! Mewah dan Strategis di Kotamadya Bandung, One Gate System",https://www.rumah123.com/properti/bandung/hos9433326/,Bandung,"1,59 Miliar",3,2,0,176,77
Rumah Grand Ujung Harapan Tipe 45,https://www.rumah123.com/properti/bekasi/hos9259915/,Bekasi,525 Juta,2,1,1,75,45
Rumah Nyaman dekat Podomoro Park Buah Batu,https://www.rumah123.com/properti/bandung/hos9634881/,Bandung,418 Juta,3,1,1,80,48
Rumah Cluster Pemium Miami Kota Wisata Bogor,https://www.rumah123.com/properti/bogor/hos9124000/,Bogor,"1,97 Miliar",4,4,2,112,128
"Rumah Cluster Nashville Kota Wisata Cibubur Lebar 8 meter, Kota Wisata Cibubur, Bogor, Jawa Barat",https://www.rumah123.com/properti/bogor/hos9161450/,Bogor,2 Miliar,4,4,2,121,100
Magenta Residence Rumah Modern Tropical di Summarecon Bekasi,https://www.rumah123.com/properti/bekasi/hos9623824/,Bekasi,"1,08 Miliar",2,2,1,55,55
Rumah Cantik Murah Bandung Kulon,https://www.rumah123.com/properti/bandung/hos9634931/,Bandung,795 Juta,3,3,0,60,120
Rumah Baru Minimalis TKI 1 Super Langka,https://www.rumah123.com/properti/bandung/hos9662232/,Bandung,975 Juta,3,3,0,71,125
Rumah Cantik Lokasi Depan harga dibawah 2 Milyar di kompleks Mekar Wangi Bandung,https://www.rumah123.com/properti/bandung/hos9488283/,Bandung,"1,75 Miliar",3,1,1,112,103
"Rumah Baru TKI, tidak jauh dari Mainroad, under 1 M",https://www.rumah123.com/properti/bandung/hos8583299/,Bandung,810 Juta,3,2,1,60,100
Rumah Sangat Bagus Di Pusatkota,https://www.rumah123.com/properti/bogor/hos9638980/,Bogor,2 Miliar,4,4,1,110,150
Rumah dekat tempat ibadah dan fasilitas pendidikan dan kesehatan,https://www.rumah123.com/properti/depok/hos9660178/,Depok,155 Juta,2,1,0,40,30
"Rumah TERMURAH di citayam akses mobil, kepoin nih!!",https://www.rumah123.com/properti/depok/hos9084909/,Depok,220 Juta,2,1,1,60,36
Rumah lokasi strategis dekat ke mana mana,https://www.rumah123.com/properti/depok/hos9084909/,Depok,225 Juta,2,1,1,60,36
Rumah Semi Furnished di Rancamaya Golf Kota Bogor,https://www.rumah123.com/properti/bogor/hos9541590/,Bogor,"1,3 Miliar",3,2,1,120,100
Rumah murah 2 lantai Lokasi Strategis Deket tol Cibubur/tol Jatikarya citra grand,https://www.rumah123.com/properti/bekasi/hos7210507/,Bekasi,695 Juta,3,2,0,60,60
Rumah Dalam Cluster DP 5 Jt saja,https://www.rumah123.com/properti/depok/hos9580000/,Depok,800 Juta,2,2,2,97,45
RUMAH CERAH BANGUNAN BARU HARGA MURAH DINEGO AJA! di HARAPAN INDAH (12799) FD,https://www.rumah123.com/properti/bekasi/hos9231259/,Bekasi,695 Juta,2,1,1,75,75
Rumah Murah di dalam Cluster di Cikunir.,https://www.rumah123.com/properti/bekasi/hos9593977/,Bekasi,600 Juta,3,2,1,84,80
Rumah Murah di Komplek SKU Mekarsari Tambun Bekasi,https://www.rumah123.com/properti/bekasi/hos9462184/,Bekasi,"1,25 Miliar",4,2,1,176,200
Rumah Lux Seperti Baru Semi Furnished Di Cluster Cinere,https://www.rumah123.com/properti/depok/hos7653742/,Depok,"2,05 Miliar",3,2,0,138,140
