name,link,city,price,bedroom,bathroom,parkingarea,surfacearea,buildingarea
"Rumah baru siap huni,bebas banjir,lokasi strategis &amp; Mutiara Cibinong",https://www.rumah123.com/properti/bogor/hos4232661/,Bogor,679 Juta,3,2,0,105,70
Rumah Murah Di Depok Dekat Toll DESARI,https://www.rumah123.com/properti/depok/hos9395154/,Depok,"1,03 Miliar",3,2,0,83,90
Rumah Murah Minimalis MUTIARA CITAYAM Dekat Stasiun Citayam,https://www.rumah123.com/properti/depok/hos6830761/,Depok,400 Juta,2,1,0,65,40
Rosewood Golf Residence Summarecon Bogor,https://www.rumah123.com/properti/bogor/hos9591333/,Bogor,"3,03 Miliar",4,3,0,216,297
Rumah murah Bandung dekat toll,https://www.rumah123.com/properti/bandung/hos8615773/,Bandung,465 Juta,3,2,0,120,80
Rumah baru dalam cluster paling dekat menuju Margonda dan stasiun Depok,https://www.rumah123.com/properti/depok/hos9741651/,Depok,800 Juta,3,2,1,68,66
SADEWA CLUSTER hunian eksklusif dengan kualitas bangunan yang kokoh dekat dengan 2 Tol utama,https://www.rumah123.com/properti/depok/hos6291557/,Depok,840 Juta,2,1,1,103,70
Rumah Mewah & Murah dekat dgn Toll,https://www.rumah123.com/properti/depok/hos8991852/,Depok,"1,65 Miliar",3,2,1,106,104
Dijual Rumah Siap Huni Di Taman Kopo Indah Bandung,https://www.rumah123.com/properti/bandung/hos9775211/,Bandung,975 Juta,3,3,0,70,130
Rumah Cluster Siap Huni Baru Jadi Sebelah Citra Grand Cibubur Akses Tol Langsung Cash/KPR @ The Address Cibubur,https://www.rumah123.com/properti/depok/hos9333707/,Depok,650 Juta,2,1,0,90,45
Rumah American Style 2 Lantai di Pondok Gede Bekasi Kota,https://www.rumah123.com/properti/bekasi/hos9680160/,Bekasi,835 Juta,3,3,2,70,95
SEGERA MILIKI RUMAH DI KOMPLEK TERKENAL PHARMINDO - CIJERAH BANDUNG,https://www.rumah123.com/properti/bandung/hos9678041/,Bandung,950 Juta,2,1,0,120,60
"Hunian Cluster Strategis, Mewah Berkualitas, Legalitas Aman Dan Lengkap",https://www.rumah123.com/properti/depok/hos9676361/,Depok,280 Juta,2,1,0,55,36
Townhouse 2 lantai Siap huni 775juta di Jatiasih 300m ke Jl raya wibawa Mutkti II,https://www.rumah123.com/properti/bekasi/hos9233087/,Bekasi,775 Juta,3,2,1,70,90
Kota Wisata Cibubur Cluster Mississippi Free DP Free KPR Free Kanopi,https://www.rumah123.com/properti/bekasi/hos9235632/,Bogor,"1,55 Miliar",3,3,0,121,84
Rumah Yang Pas Bagi Kaum Milenial,https://www.rumah123.com/properti/depok/hos7859018/,Depok,502 Juta,2,1,1,85,38
*Rumah Exclusive di Kota Bogor Bernuansa Perbukitan*,https://www.rumah123.com/properti/bogor/hos9624701/,Bogor,"1,54 Miliar",3,3,2,126,88
"Rumah 2 Lantai Dekat Jalan Raya GDC Depok, 5 Menit Alun-Alun, Akses Tol, Stasiun KRL",https://www.rumah123.com/properti/depok/hos9671070/,Depok,850 Juta,3,2,1,70,68
Rumah Sejuk Scandinavia Cikutra akses dekat Gedung Sate Bandung,https://www.rumah123.com/properti/bandung/hos2955468/,Bandung,"1,8 Miliar",4,2,0,184,94
"Rumah Cluster Nyaman Di Tengah Kota Bekasi, Bekasi Barat! Nego Sampai Deal",https://www.rumah123.com/properti/bekasi/hos9533718/,Bekasi,950 Juta,3,3,0,60,78
Rumah baru dengan 4 kamar tidur tanahnya luas dekat stasiun dan tol Depok,https://www.rumah123.com/properti/depok/hos9148478/,Depok,920 Juta,4,2,2,85,95
Rumah Bandung Private Pool Strategis ,https://www.rumah123.com/properti/bandung/hos9760828/,Bandung,"1,75 Miliar",4,3,2,111,200
Rumah Nyaman Siap Huni Lokasi Pinggir Jalan Raya - 5 Menit Ke Tol Cijago dan Desari,https://www.rumah123.com/properti/depok/hos8771532/,Depok,"1,27 Miliar",3,3,1,85,110
Rumah NYAMAN Gaya Millenial Tengah Kota Bandung,https://www.rumah123.com/properti/bandung/hos9150839/,Bandung,"2,3 Miliar",3,2,2,137,170
rumah Minimalis siap huni dan nyaman di sayap bandung,https://www.rumah123.com/properti/bandung/hos9045658/,Bandung,200 Juta,2,1,0,60,40
Rumah minimalis akses pruis 2 mobil dekat GDC dan stasiun Depok,https://www.rumah123.com/properti/depok/hos9450455/,Depok,585 Juta,2,1,1,75,45
"Jual rumah di Bogor, Perumahan Elite dengan lokasi strategis - Nego sampai DEAL",https://www.rumah123.com/properti/bogor/hos8992672/,Bogor,"1,7 Miliar",2,2,1,84,96
Rumah Split Level SIAP HUNI dalam Perumahan Panorama Bukit Cinere Dekat Tol Andara Di CINERE Depok,https://www.rumah123.com/properti/depok/hos9712543/,Depok,"1,59 Miliar",4,3,1,144,130
Cluster Maya Persada Regency,https://www.rumah123.com/properti/bekasi/hos9665379/,Bekasi,"1,2 Miliar",2,2,1,60,90
Rumah Gaya Bali Tanah Luas Hanya 10 Menit Ke Pintu Tol Cimanggis,https://www.rumah123.com/properti/depok/hos9430784/,Depok,495 Juta,2,1,1,66,40
Rumah 2 Lantai Tapos 15 menit ke Pintu Tol Cimanggis Depok,https://www.rumah123.com/properti/depok/hos9432016/,Depok,481 Juta,2,2,1,40,46
Rumah Tapos Depok Eksklusif Dekat Tol Cimanggis,https://www.rumah123.com/properti/depok/hos8522554/,Depok,400 Juta,2,1,0,62,36
Rumah Skandinavia 2 Lantai Eksklusif dekat Pintu Tol Cimanggis,https://www.rumah123.com/properti/depok/hos9676132/,Depok,700 Juta,3,2,2,69,60
Rumah 2 Lantai dengan Rooftop Depok Eksklusif 10 menit ke Pintu Tol Cimanggis,https://www.rumah123.com/properti/depok/hos9243381/,Depok,757 Juta,3,2,0,61,55
Rumah Depok Cibubur 2 Lantai Gaya Bali Dekat Tol,https://www.rumah123.com/properti/depok/hos7851838/,Depok,925 Juta,3,2,0,102,56
Pinewood Residence Summarecon Bogor,https://www.rumah123.com/properti/bogor/hos9675000/,Bogor,"1,5 Miliar",3,3,2,144,159
RUMAH PANCORAN MAS DEPOK MURAH,https://www.rumah123.com/properti/depok/hos9676342/,Depok,450 Juta,2,1,1,70,45
Rumah siap huni dan siap bangun minimalis moderen lokasi strategis di Bandung,https://www.rumah123.com/properti/bandung/hos9819689/,Bandung,195 Juta,2,1,0,60,25
Rumah Elysium Garden Elysium Residence Lippo Cikarang,https://www.rumah123.com/properti/cikarang/hos8625933/,Cikarang,"3,7 Miliar",4,5,0,220,300
Rumah d perumahan dekat kota bandung berkonsep syariah lebar jalan 8 meter,https://www.rumah123.com/properti/bandung/hos9542541/,Bandung,486 Juta,3,2,2,120,80
Rumah harga murah bisa langsung huni,https://www.rumah123.com/properti/bandung/hos9542590/,Bandung,279 Juta,2,2,1,50,72
RUMAH SIAP HUNI JALAN UTAMA LEBAR 8 METER,https://www.rumah123.com/properti/bandung/hos8132699/,Bandung,280 Juta,2,2,0,72,50
RUMAH 2 KAMAR TIDUR 2 KAMAR MANDI JLN UTAMA 8M JLN SAYAP 5M,https://www.rumah123.com/properti/bandung/hos7669203/,Bandung,252 Juta,2,2,0,72,50
"Hunian 2 Lantai Exclusive Gaya Bali ADA Kids Pool Lokasi Strategis 1,4 KM ke Gerbang Tol Cijago",https://www.rumah123.com/properti/depok/hos9620107/,Depok,745 Juta,2,2,2,68,51
Rumah Cluster modern gaya bali harga ekonomis ada fasilitas kidspool lokasi strategis di pinggir jalan raya pekapuran,https://www.rumah123.com/properti/depok/hos9619925/,Depok,777 Juta,2,2,2,72,51
Rumah mewah minimalis strategis dibandung,https://www.rumah123.com/properti/bandung/hos8111323/,Bandung,251 Juta,2,1,0,78,50
Rumah MURAH!! desain Minimalis &amp; Siap huni Di Bandung Selatan Non KPR,https://www.rumah123.com/properti/bandung/hos7661492/,Bandung,314 Juta,2,2,0,70,50
Bogor nirwana residence Rumah mewah  harga terbaik cluster grand Victoria ,https://www.rumah123.com/properti/bogor/hos9558114/,Bogor,900 Juta,3,2,0,72,80
Rumah Minimalis Siap huni dekat tol,https://www.rumah123.com/properti/bandung/hos8476855/,Bandung,250 Juta,2,1,0,60,36
(06AS) PROMO MENARIK! SUPER IRIT RUMAH MENAWAN DIKAWASAN TAMAN CIBADUYUT INDAH,https://www.rumah123.com/properti/bandung/hos9183177/,Bandung,"1,1 Miliar",4,2,2,128,100
CLUSTER PRIVATE EXCLUSIVE DEPOK,https://www.rumah123.com/properti/depok/hos9761718/,Depok,1 Miliar,3,2,1,103,68
Tipe Ueno di Mustika Village Sukamulya Bekasi,https://www.rumah123.com/properti/bekasi/hos9537866/,Bekasi,160 Juta,2,1,0,60,25
Tipe Uptown Villa di Uptown Estate Bekasi,https://www.rumah123.com/properti/bekasi/hos9530525/,Bekasi,589 Juta,2,2,0,60,55
"HOT DEAL! Bintang Residence Cibubur 50 Meter Jln Utama, 2 Lantai & Rooftop. Sudah All In.",https://www.rumah123.com/properti/depok/hos9719240/,Depok,885 Juta,3,2,2,83,75
Rumah harga promo dikota depok,https://www.rumah123.com/properti/depok/hos9621865/,Depok,290 Juta,2,1,1,60,40
