name,city,bedroom,bathroom,parkingarea,surfacearea,buildingarea,price
"Hunian Cluster Strategis, Mewah Berkualitas, Legalitas Aman Dan Lengkap",0,4,2,0,184,94,1800000000
Townhouse 2 lantai Siap huni 775juta di Jatiasih 300m ke Jl raya wibawa Mutkti II,2,3,3,0,60,78,950000000
Kota Wisata Cibubur Cluster Mississippi Free DP Free KPR Free Kanopi,8,4,2,2,85,95,920000000
Rumah Mewah Pribadi Rasa Resort,8,2,1,1,88,40,580000000
Rumah Yang Pas Bagi Kaum Milenial,0,4,3,2,111,200,1750000000
*Rumah Exclusive di Kota Bogor Bernuansa Perbukitan*,8,3,3,1,85,110,1270000000
"Rumah 2 Lantai Dekat Jalan Raya GDC Depok, 5 Menit Alun-Alun, Akses Tol, Stasiun KRL",0,3,2,2,137,170,2300000000
"Promo Terbatas, Hunian Mewah Strategis Berkualitas,",0,2,1,0,60,40,200000000
Rumah Sejuk Scandinavia Cikutra akses dekat Gedung Sate Bandung,8,2,1,1,75,45,585000000
"Rumah Cluster Nyaman Di Tengah Kota Bekasi, Bekasi Barat! Nego Sampai Deal",3,2,2,1,84,96,1700000000
Rumah baru dengan 4 kamar tidur tanahnya luas dekat stasiun dan tol Depok,8,4,3,1,144,130,1590000000
Rumah baru minimalis luas banget dekat pintu tol Cijago termurah di sekitaran Cimanggis Depok,2,2,2,1,60,90,1200000000
Rumah Bandung Private Pool Strategis ,8,2,1,1,89,40,595000000
Rumah Nyaman Siap Huni Lokasi Pinggir Jalan Raya - 5 Menit Ke Tol Cijago dan Desari,8,2,2,1,40,46,481000000
Rumah NYAMAN Gaya Millenial Tengah Kota Bandung,8,2,1,0,62,36,395000000
rumah Minimalis siap huni dan nyaman di sayap bandung,8,3,2,1,65,54,678000000
Rumah minimalis akses pruis 2 mobil dekat GDC dan stasiun Depok,8,3,2,0,61,55,757000000
"Jual rumah di Bogor, Perumahan Elite dengan lokasi strategis - Nego sampai DEAL",8,3,2,0,102,56,925000000
Rumah Split Level SIAP HUNI dalam Perumahan Panorama Bukit Cinere Dekat Tol Andara Di CINERE Depok,3,3,3,2,144,159,1500000000
Cluster Maya Persada Regency,8,2,1,1,70,45,450000000
Kota Wisata Cibubur Cluster Mississippi Free DP Free KPR Free Kanopi,0,2,1,0,120,80,511000000
Rumah Gaya Bali Tanah Luas Hanya 10 Menit Ke Pintu Tol Cimanggis,0,2,1,0,108,75,164000000
Rumah 2 Lantai Tapos 15 menit ke Pintu Tol Cimanggis Depok,5,4,5,0,220,300,3700000000
Rumah Tapos Depok Eksklusif Dekat Tol Cimanggis,0,3,2,2,120,80,486000000
Rumah Skandinavia 2 Lantai Eksklusif dekat Pintu Tol Cimanggis,0,2,2,1,50,72,279000000
Rumah 2 Lantai dengan Rooftop Depok Eksklusif 10 menit ke Pintu Tol Cimanggis,0,2,2,0,72,50,280000000
Rumah Depok Cibubur 2 Lantai Gaya Bali Dekat Tol,0,2,2,0,72,50,252000000
Pinewood Residence Summarecon Bogor,8,2,2,2,68,51,745000000
Rapih dan Siap Nego Kota Wisata LT 300 LB 350 ,8,2,2,2,72,51,777000000
RUMAH PANCORAN MAS DEPOK MURAH,0,2,1,0,70,50,255000000
"Ruma siap huni dan siap bangun free desain di sayap kota Bandung ,100% konsep syariah",0,2,2,0,70,50,314000000
Rumah siap huni dan siap bangun minimalis moderen lokasi strategis di Bandung,3,3,2,0,72,80,900000000
Rumah Elysium Garden Elysium Residence Lippo Cikarang,0,2,1,0,60,40,250000000
Ini Kann Yang Anda Cari.. Hunian Keluarga Cerdas Komplek Budi Asri Pesantren Cibabat,0,4,2,2,128,100,1100000000
Rumah d perumahan dekat kota bandung berkonsep syariah lebar jalan 8 meter,8,3,2,1,103,68,1000000000
Rumah harga murah bisa langsung huni,2,2,1,0,60,25,160000000
RUMAH SIAP HUNI JALAN UTAMA LEBAR 8 METER,2,2,2,0,60,55,589000000
RUMAH 2 KAMAR TIDUR 2 KAMAR MANDI JLN UTAMA 8M JLN SAYAP 5M,8,3,2,2,83,75,885000000
"Hunian 2 Lantai Exclusive Gaya Bali ADA Kids Pool Lokasi Strategis 1,4 KM ke Gerbang Tol Cijago",8,2,1,1,60,40,290000000
Rumah Cluster modern gaya bali harga ekonomis ada fasilitas kidspool lokasi strategis di pinggir jalan raya pekapuran,8,2,1,1,50,36,270000000
Rumah mewah minimalis strategis dibandung,0,3,2,1,97,65,1470000000
Rumah MURAH!! desain Minimalis &amp; Siap huni Di Bandung Selatan Non KPR,2,2,1,1,66,36,337000000
Bogor nirwana residence Rumah mewah  harga terbaik cluster grand Victoria ,8,4,3,1,155,190,2900000000
Rumah Minimalis Siap huni dekat tol,3,1,2,1,36,64,305000000
(06AS) PROMO MENARIK! SUPER IRIT RUMAH MENAWAN DIKAWASAN TAMAN CIBADUYUT INDAH,0,3,2,0,100,50,350000000
CLUSTER PRIVATE EXCLUSIVE DEPOK,0,3,2,0,80,50,300000000
Tipe Ueno di Mustika Village Sukamulya Bekasi,0,2,1,0,45,30,150000000
Tipe Uptown Villa di Uptown Estate Bekasi,0,3,2,0,100,75,400000000
Cluster Brahmapuri di Podomoro Park Bandung Termurah,0,3,3,1,100,156,2550000000
"HOT DEAL! Bintang Residence Cibubur 50 Meter Jln Utama, 2 Lantai & Rooftop. Sudah All In.",3,4,4,0,162,164,2700000000
Rumah harga promo dikota depok,3,3,3,0,100,106,1500000000
"Hunian Berkualitas, Berkonsep Modern Mewah, Strategis, Legalitas Aman Dan Lengkap",3,2,1,1,98,32,605000000
TERMURAH Rumah Tanah Luas Strategis Dekat Gateway Pasteur Sukajadi dan SMA 13 Andir Bandung,3,2,1,1,60,30,430000000
Rumah di Setu Bekasi dengan Fasilitas Berkuda dan Memanah Dekat Rencana Pintu Tol Setu,0,2,1,0,87,60,950000000
Rumah Mewah Islami Strategis di Pondok Nurul Fikri,0,1,1,1,40,21,164000000
Rumah 305juta Rasa Villa di Ciampea Bogor  Akses Langsung Jalan Raya dilengkapi Musholla dan Minipool serta Playground ,0,3,2,0,120,80,480000000
rumah mewah dan minimalis di bandung,0,4,2,0,120,80,500000000
hunian mewah dan minimalis,8,4,4,2,120,180,2120000000
rumah minimalis kualitas premium harga terjangkau,8,3,3,0,128,170,2100000000
rumah syariah kota Bandung,0,3,2,0,128,120,1650000000
Murahh Siap Nego Raffles Hills LT 250 LB 350 Rapih,0,3,2,0,105,104,2000000000
Taman Laguna Cibubur LT 207 LB 250 Murah dan Siap Nego ,6,2,1,1,105,45,913000000
Rumah Ternyaman di Setraduta Bandung,0,3,2,1,105,90,1240000000
Perumahan Kota Wisata Cibubur Cluster Miami,2,3,2,0,100,300,1500000000
Rumah cantik murah,2,2,1,1,90,36,516000000
Jual Cepat Rumah Cantik di Town House Indraprasta,8,3,2,2,105,68,851000000
Rumah View Pegunungan Aurora Bukit Rancamaya Residence,2,2,2,2,60,51,900000000
Rumah Murah Minimalis Sentul Indah Residence,0,2,1,0,84,60,350000000
Rumah Bagus di Taman Kopo Indah 3,0,2,1,1,70,50,261000000
Rumah murah lokasi strategis di sayap kota bandung  ( cash only),0,3,2,0,120,75,261000000
rumah cantik minimalis modern idaman terbaru Dengan suasana asri,0,3,2,1,108,80,433000000
hunian terlaris di Bandung,8,2,2,1,40,72,400000000
[BARU] Rumah Mewah di Cluster Ekslusif 5 min Tol Sawangan &amp; Pamulang,2,3,2,1,65,72,895000000
Rumah Cantik yang Luas dekat Tol,2,2,2,0,60,48,900000000
HARGA GA BISA BOHONG RUMAH PALING CANTIK INI ADA DI PASTEUR BANDUNG,2,2,1,1,60,45,539000000
FREE FULL FURNISH KAPAN LAGI BISA DAPAT RUMAH SECANTIK INI DI GUNUNG BATU BANDUNG,0,3,1,0,102,72,980000000
Rumah Adem dan Nyaman di Flora Summarecon Bandung,8,2,1,1,55,36,100000000
"Rumah Adem Minimalis di Kolmas Regency , Cimahi Utara",0,4,2,1,172,100,1750000000
"Rumah Sejuk di Summarecon, Bandung Timur",0,2,1,0,49,70,550000000
Rumah mewah baru Batununggal Indah,3,4,3,2,60,69,730000000
Rumah Adem di Kolonel Masturi Cimahi,0,3,3,2,165,127,2570000000
"Perumahan Griya Bintara Indah Blok I No. 33, Bekasi Barat (dekat Tol Bintara)",3,2,1,2,72,38,658000000
Rumah Cantik Bagi Kaum Milenial,0,4,4,1,95,150,2750000000
Rumah Cantik 2 Lantai Depan Taman,0,2,1,1,72,32,350000000
Di Jatiasih Rumah Mewah 2 Lantai Fasilitas Lengkap,8,2,1,1,60,42,285000000
"Rumah Minimalis Terawat, 2 Kamar Tidur , Posisi Jalan Utama Dengan lebar jalan 6 Meter",0,2,1,1,90,48,825000000
Rumah Minimalis di Bandung Dengan Desain modren,0,2,1,1,50,36,150000000
"Hunian Aman , Nyaman Dan Bebas Banjir",3,2,1,0,60,40,450000000
Rumah Dijual Singgasana Dewata Prana,3,2,1,0,70,35,382000000
Rumah murah dibandung lebar jln utama 8 meter,8,2,1,2,84,45,625000000
RUMAH DEPOK 2 LANTAI DIBAWAH PASARAN,8,3,2,2,120,103,1280000000
Dijual rumah baru 2 lantai di pondok gede harga paling murah! Pasti Untung,8,3,2,2,256,80,1400000000
Di Jatiasih Hunian mewah 2 lantai fasilitas lengkap! Pasti Untung,0,4,4,0,200,250,2200000000
rumah berkualitas aman dan nyaman di Bandung,3,2,2,1,70,112,890000000
Rumah Mezzanine Design Exclusive  Di Jatimulya Bekasi Dekat Tol dan LRT Bekasi Timur,8,2,1,1,40,62,325000000
"Turun Harga! Rumah siap huni sudah renov, tinggal masuk di TKI 2 patung kuda",11,2,1,1,142,28,450000000
Rumah KPR pribadi / KPR Syariah,10,2,1,1,125,45,700000000
"Rumah Siap Huni Ancol Timur, Moh Ramdan, BKR Dekat Pasar Ancol jalan besar",8,3,2,1,60,90,990000000
"Rumah 2lt di sayap bkr , pasirluyu , kembar",8,3,2,2,60,80,1000000000
Rumah Di Bogor Dekat Stasiun Cilebut Bogor,8,2,1,1,60,40,280000000
Villa view pegunungan sejuk & strategis dekat tol bandung,3,3,3,1,120,150,1050000000
Rumah Di Cibinong Bogor Nuansa Jepang,2,3,3,2,83,100,1350000000
"Rumah BARU, MODERN dan MEWAH setra duta bandung, harga nego",2,4,2,1,94,145,750000000
Rumah Bagus Area Kopo Katapang,2,3,3,1,170,225,2000000000
Rumah murah di Citayam Depok dekat ke stasiun,3,2,1,0,85,30,200000000
Rumah Minimalis Modern 2 Lantai bebas Banjir & Akses Tol DESARI,3,2,1,1,60,30,168000000
JUAL RMH BAGUS TERAWAT SIAP HUNI CLUSTER LAMARGAS RESIDENCE,2,3,2,1,50,100,600000000
Rumah berkualitas harga standar fullspeek,8,3,2,2,80,71,1010000000
rumah siap huni strategis di Arcopolis Cibinong dekat stasiun Bojonggede dan pemda Cibinong,8,3,2,2,60,74,880000000
rumah cantik asri dan minimalis dekat stasiun Cilebut,8,3,2,2,63,61,1030000000
RUMAH MINIMALIS MODERN DEKAT PINTU TOL CIMANGGIS,8,2,1,1,105,55,800000000
Rumah Kavling Pertamina Cibubur,2,2,2,0,108,69,1690000000
Rumah luas dan apik 1 lantai komplek sawangan dekat de park mall,3,3,2,1,88,54,600000000
Rumah Bagus Cluster Taman Menteng Lippo Cikarang,0,2,1,0,36,60,155000000
Rumah Cluster Vassa Residence Lippo Cikarang,0,3,4,0,91,122,1430000000
Rumah Sayap Pasteur di Dekat setra duta dan Setiabudi Harga di bawah harga pasar di Bandung,2,4,3,1,135,150,1600000000
Rumah murah Lux area siap huni 15 menit ke pintutol jatiasaih,2,3,2,0,168,124,1750000000
Rumah Cluster mewah dekat jalan utama dan tol sawangan (cash) R.p,0,3,3,0,72,100,1170000000
Di jual rumah berlokasi di kebun kembang asri lokasi strategis,0,2,1,0,72,60,905000000
